Brand,Name,Link,Discounted_Price,Original_Price,Discount_Percentage
AASK,Tiered Fit and Flare Dress,https://www.myntra.com/dresses/aask/aask-women-green-self-design-crepe-tiered-fit-and-flare-midi-dress/36627418/buy,649,2596,75.0
Loomfresh,One Shoulder Maxi Dress,https://www.myntra.com/dresses/loomfresh/loomfresh-ombre-dyed-one-shoulder-fit--flare-maxi-dress/35641327/buy,899,5999,85.0
InWeave,Printed Fit & Flare Dress,https://www.myntra.com/dresses/inweave/inweave-conversational-printed-fit--flare-dress/27547560/buy,1271,5299,76.0
TRAQUILA,Women Fit & Flare Midi Dress,https://www.myntra.com/dresses/traquila/traquila-women-square-neck-backless-fit--flare-midi-dress/36596993/buy,499,2499,80.0
STREET 9,Off-Shoulder Net Maxi Dress,https://www.myntra.com/dresses/street+9/street-9-beige-off-shoulder-net-maxi-dress/10471106/buy,959,2999,68.0
PIMU,Women Wrap Midi Dress,https://www.myntra.com/dresses/pimu/pimu-women-printed-wrap-midi-dress/34841826/buy,799,3999,80.0
AASK,Tiered Fit & Flare Midi Dress,https://www.myntra.com/dresses/aask/aask-women-geometric-printed-tiered-puff-sleeve-crepe-fit--flare-midi-dress/36627423/buy,649,2596,75.0
Trendyol,Printed Fit & Flare Dress,https://www.myntra.com/dresses/trendyol/trendyol-floral-printed-fit--flare-dress/27532902/buy,1049,2099,50.0
Moda Rapido,Printed Fit & Flare Dress,https://www.myntra.com/dresses/moda+rapido/moda-rapido-women-floral-printed-crepe-fit--flare-dress/36162915/buy,749,1999,62.5
Stylum,Floral Print Fit & Flare Maxi Dress,https://www.myntra.com/dresses/stylum/stylum-floral-print-fit--flare-maxi-dress/30722822/buy,757,2899,73.9
